codigo_ibge,ano,turno,data_eleicao,cargo,aptos,secoes,comparecimento,abstencoes,votos_validos,votos_brancos,votos_nulos,votos_nominais,votos_legenda
4202206,1994,1,1994-10-03,deputado federal,6023,0,5454,569,2887,1302,1262,2830,57
4202206,1994,1,1994-10-03,governador,6023,0,5454,569,4231,945,275,4231,0
4202206,1994,1,1994-10-03,presidente,6023,0,5454,569,4578,503,370,4578,0
4202206,1994,1,1994-10-03,senador,6023,0,5454,569,6604,3154,1147,6604,0
4202305,1994,1,1994-10-03,deputado estadual,21348,0,19073,2275,12018,2047,5006,11216,802
4202305,1994,1,1994-10-03,deputado federal,21348,0,19073,2275,8188,4696,6187,7489,699
4202305,1994,1,1994-10-03,governador,21348,0,19073,2275,14407,3168,1495,14407,0
4202305,1994,1,1994-10-03,presidente,21348,0,19073,2275,15726,1523,1821,15726,0
4202305,1994,1,1994-10-03,senador,21348,0,19073,2275,19426,13521,5196,19426,0
4202404,1994,1,1994-10-03,deputado estadual,147417,0,132852,14565,83014,14007,35828,79002,4012
4202404,1994,1,1994-10-03,deputado federal,147417,0,132852,14565,72847,19759,40243,67771,5076
4202404,1994,1,1994-10-03,governador,147417,0,132852,14565,105412,16911,10526,105412,0
4202404,1994,1,1994-10-03,presidente,147417,0,132852,14565,116199,5993,10657,116199,0
4202404,1994,1,1994-10-03,senador,147417,0,132852,14565,170900,66168,28633,170900,0
4202453,1994,1,1994-10-03,deputado estadual,3249,0,2642,607,1740,388,511,1645,95
4202453,1994,1,1994-10-03,deputado federal,3249,0,2642,607,1391,642,606,1284,107
4202453,1994,1,1994-10-03,governador,3249,0,2642,607,2039,466,134,2039,0
4202453,1994,1,1994-10-03,presidente,3249,0,2642,607,2208,248,183,2208,0
4202453,1994,1,1994-10-03,senador,3249,0,2642,607,2986,1856,439,2986,0
4202503,1994,1,1994-10-03,deputado estadual,3488,0,2846,642,2070,390,383,2056,14
4202503,1994,1,1994-10-03,deputado federal,3488,0,2846,642,2133,412,298,2120,13
4202503,1994,1,1994-10-03,governador,3488,0,2846,642,2488,324,31,2488,0
4202503,1994,1,1994-10-03,presidente,3488,0,2846,642,2495,215,133,2495,0
4202503,1994,1,1994-10-03,senador,3488,0,2846,642,3865,1629,195,3865,0
4202602,1994,1,1994-10-03,deputado estadual,5787,0,4829,958,3623,620,583,3509,114
4202602,1994,1,1994-10-03,deputado federal,5787,0,4829,958,3174,992,660,3066,108
4202602,1994,1,1994-10-03,governador,5787,0,4829,958,4096,628,102,4096,0
4202602,1994,1,1994-10-03,presidente,5787,0,4829,958,4200,441,185,4200,0
4202602,1994,1,1994-10-03,senador,5787,0,4829,958,6114,3118,423,6114,0
4202701,1994,1,1994-10-03,deputado estadual,3039,0,2788,251,1651,660,474,1641,10
4202701,1994,1,1994-10-03,deputado federal,3039,0,2788,251,1845,470,470,1831,14
4202701,1994,1,1994-10-03,governador,3039,0,2788,251,1927,717,141,1927,0
4202701,1994,1,1994-10-03,presidente,3039,0,2788,251,2129,414,242,2129,0
4202701,1994,1,1994-10-03,senador,3039,0,2788,251,2835,2159,579,2835,0
4202800,1994,1,1994-10-03,deputado estadual,11916,0,10929,987,8191,1162,1573,7902,289
4202800,1994,1,1994-10-03,deputado federal,11916,0,10929,987,7733,1653,1540,7503,230
4202800,1994,1,1994-10-03,governador,11916,0,10929,987,9350,1235,341,9350,0
4202800,1994,1,1994-10-03,presidente,11916,0,10929,987,9659,768,499,9659,0
4202800,1994,1,1994-10-03,senador,11916,0,10929,987,15148,5411,1296,15148,0
4202859,1994,1,1994-10-03,deputado estadual,2188,0,1925,263,1318,255,349,1292,26
4202859,1994,1,1994-10-03,deputado federal,2188,0,1925,263,1254,327,341,1230,24
4202859,1994,1,1994-10-03,governador,2188,0,1925,263,1651,217,54,1651,0
4202859,1994,1,1994-10-03,presidente,2188,0,1925,263,1706,121,95,1706,0
4202859,1994,1,1994-10-03,senador,2188,0,1925,263,2685,943,219,2685,0
4202909,1994,1,1994-10-03,deputado estadual,41338,0,37894,3444,28770,3293,5828,28408,362
4202909,1994,1,1994-10-03,deputado federal,41338,0,37894,3444,25149,5439,7303,24613,536
4202909,1994,1,1994-10-03,governador,41338,0,37894,3444,30103,5731,2057,30103,0
4202909,1994,1,1994-10-03,presidente,41338,0,37894,3444,33185,2212,2494,33185,0
4202909,1994,1,1994-10-03,senador,41338,0,37894,3444,47310,22122,6353,47310,0
4203006,1994,1,1994-10-03,deputado estadual,35686,0,30811,4875,22386,3522,4955,21556,830
4203006,1994,1,1994-10-03,deputado federal,35686,0,30811,4875,13906,8927,8030,12571,1335
4203006,1994,1,1994-10-03,governador,35686,0,30811,4875,22508,6662,1638,22508,0
4203006,1994,1,1994-10-03,presidente,35686,0,30811,4875,25813,2705,2290,25813,0
4203006,1994,1,1994-10-03,senador,35686,0,30811,4875,36705,19093,5821,36705,0
